Deck;french_common_phrases;Common French Phrases Flashcards;English;https://raw.githubusercontent.com/dale-wahl/additional_decks/master/french_back.png
Categories;Flashcards;French;;
En effet;NULL;Indeed, that's right;NULL;
Pas de problème;NULL;No problem;NULL;
Tant mieux;NULL;It's just as well, even better;NULL;
Tout à fait;NULL;Absolutely, exactly;NULL;
Bien entendu;NULL;Of course, obviously;NULL;
Bien sûr;NULL;Of course;NULL;
Ça marche;NULL;That works;NULL;
Ça m'est égal;NULL;It's all the same to me ;NULL;
À la vôtre!;NULL;Cheers!;NULL;
À tes souhaits;NULL;Bless you;NULL;
Bon anniversaire!;NULL;Happy birthday!;NULL;
Bon appétit!;NULL;Enjoy your meal!;NULL;
Ça va (?);NULL;How's it going?, I'm fine;NULL;
De rien;NULL;You're welcome;NULL;
Grâce à;NULL;Thanks to;NULL;
Si ce n'est pas indiscret;NULL;If it's not too personal a question;NULL;
Si tu veux;NULL;If you will;NULL;
Tiens;NULL;Here you go, there you are;NULL;
À cause de;NULL;Because of, due to;NULL;
À la fois;NULL;At the same time;NULL;
Au fur et à mesure;NULL;As, while;NULL;
Au lieu de;NULL;Instead of, rather than;NULL;
​avoir l'air (de);NULL;To look (like);NULL;
Du coup;NULL;As a result;NULL;
À la limite;NULL;At most, in a pinch ;NULL;
À la rigueur;NULL;Or even, if need be ;NULL;
À peine;NULL;Hardly;NULL;
Au cas où;NULL;Just in case;NULL;
Au fait;NULL;By the way;NULL;
Vis-à-vis (de);NULL;Facing, in relation to;NULL;
À mon avis;NULL;In my opinion;NULL;
Ah bon (?);NULL;Oh really? I see;NULL;
Au contraire;NULL;On the contrary ;NULL;
D'ailleurs;NULL;Moreover, might I add;NULL;
A priori;NULL;At first glance, in principle;NULL;
En fait;NULL;In fact;NULL;
Entendre dire que;NULL;To hear (it said) that;NULL;
Entendre parler de;NULL;To hear (someone talk) about;NULL;
Par contre;NULL;Whereas, on the other hand;NULL;
Par exemple;NULL;"For example, such as; oh my, well really!";NULL;
Revenons à nos moutons;NULL;Let's get back to the subject at hand;NULL;
À peu près;NULL;About, approximately, nearly;NULL;
Du jour au lendemain;NULL;Overnight;NULL;
En retard;NULL;Late;NULL;
Entre chien et loup;NULL;At dusk, twilight;NULL;
Faire le pont;NULL;To make it a long weekend  ;NULL;
Tout à l'heure;NULL;In a moment, a moment ago;NULL;
Tout à coup;NULL;All of a sudden;NULL;
Tout de suite;NULL;Right away, immediately;NULL;
Allons-y!;NULL;Let's go!;NULL;
À la française;NULL;In the French style or manner;NULL;
À la une;NULL;Front-page news;NULL;
Ça alors;NULL;How about that, my goodness;NULL;
C'est-à-dire;NULL;That is, i.e., I mean;NULL;
C'est parti;NULL;Here we go, and we're off ;NULL;
Ce n'est pas grave;NULL;It doesn't matter, no problem;NULL;
Dis donc / dites donc;NULL;Wow, by the way;NULL;
Enfin;NULL;Well, I mean;NULL;
Et j'en passe;NULL;And that's not all;NULL;
Et patati et patata;NULL;And so on and so forth;NULL;
Fais gaffe;NULL;Watch out, be careful;NULL;
Fais voir;NULL;Let me see;NULL;
Figure-toi;NULL;Guess what, get this;NULL;
'fin;NULL;Well, I mean ;NULL;
Il y a quelque chose qui cloche;NULL;Something's amiss;NULL;
J'arrive!;NULL;I'm on my way!;NULL;
Je t'aime;NULL;I love you;NULL;
On ne sait jamais;NULL;You never know ;NULL;
Vive la France!;NULL;Long live France!;NULL;
Plus ça change...;NULL;The more things change...;NULL;
Métro, boulot, dodo;NULL;The rat race;NULL;
Tu connais la musique;NULL;You know the routine;NULL;
Tu m'étonnes;NULL;Tell me something I don't know;NULL;
Du loup;NULL;Speak of the devil;NULL;
Voilà;NULL;There is, that's it;NULL;
Ça ne fait rien;NULL;Never mind, it doesn't matter;NULL;
C'est pas vrai!;NULL;No way! ;NULL;
J'en peux plus;NULL;I can't take (it) anymore ;NULL;
Je n'en reviens pas;NULL;I can't believe it ;NULL;
Je n'y peux rien;NULL;There's nothing I can do about it. ;NULL;
Je n'y suis pour rien;NULL;It's got nothing to do with me;NULL;
N'importe quoi;NULL;Whatever;NULL;
Oh là là;NULL;Oh dear, oh no;NULL;
Pas du tout;NULL;Not at all ;NULL;
Pas terrible;NULL;Not that great, nothing special;NULL;
Rien à voir;NULL;Nothing to do with;NULL;
Tant pis;NULL;Oh well, too bad, tough ;NULL;
Tu connais la musique;NULL;You know the routine;NULL;
Tu m'étonnes;NULL;Tell me something I don't know;NULL;
De trop;NULL;Too much/many;NULL;
Du tout;NULL;Not/none at all ;NULL;
Il y a;NULL;There is, there are;NULL;
N'est-ce pas?;NULL;Right? isn't that so?;NULL;
On y va?;NULL;Shall we go? Ready?;NULL;
Tu te rends compte?;NULL;Can you imagine?;NULL;
Ah bon?;NULL;Oh really?;NULL;
Ça va?;NULL;How's it going?;NULL;